Test_Case,Producer_Rate,Security,Message_Size,Execution,OMB_Latency_50,OMB_Latency_75,OMB_Latency_95,OMB_Latency_99,OMB_Messages,OMB_Bytes,OMB_Duration,OMB_Throughout
TC04,100,Non-Secure,102400,9,3.915,4.095,4.677,6.011,30062,3078.3487999999998,307,10.027194788273615
TC04,100,Secure,102400,9,6.877,8.045,10.189,12.977,30330,3105.792,528,5.882181818181818
TC04,100,Non-Secure,102400,10,3.79,3.94,4.479,6.217,30062,3078.3487999999998,308,9.99463896103896
TC04,100,Secure,102400,10,6.76,7.954,9.731,11.768,30277,3100.3648,526,5.894229657794677
TC05,1000,Non-Secure,100,1,1.844,2.727,3.216,4.145,300611,30.0611,307,0.09791889250814333
TC05,1000,Secure,100,1,5.153,6.418,8.68,10.495,308525,30.8525,515,0.05990776699029126
TC05,1000,Non-Secure,100,2,1.918,2.787,3.334,4.344,300623,30.062299999999997,308,0.09760487012987012
TC05,1000,Secure,100,2,5.267,6.557,8.817,10.804,308502,30.850199999999997,517,0.05967156673114119
TC05,1000,Non-Secure,100,3,2.041,2.864,3.56,4.78,300642,30.0642,307,0.09792899022801303
TC05,1000,Secure,100,3,5.638,6.87,9.198,11.155,308439,30.843899999999998,515,0.05989106796116504
TC05,1000,Non-Secure,100,4,2.145,2.937,3.919,5.653,300595,30.0595,307,0.09791368078175895
TC05,1000,Secure,100,4,5.203,6.54,8.899,11.291,308613,30.8613,516,0.05980872093023256
TC05,1000,Non-Secure,100,5,1.856,2.744,3.165,4.276,300724,30.0724,307,0.09795570032573289
TC05,1000,Secure,100,5,5.574,6.788,9.107,11.11,309078,30.907799999999998,515,0.06001514563106796
TC05,1000,Non-Secure,100,6,1.803,2.703,3.068,3.76,300644,30.0644,307,0.09792964169381108
TC05,1000,Secure,100,6,5.029,6.274,8.646,10.945,308525,30.8525,515,0.05990776699029126
TC05,1000,Non-Secure,100,7,1.889,2.782,3.185,4.04,300677,30.0677,307,0.09794039087947883
TC05,1000,Secure,100,7,5.65,6.897,9.265,11.428,308497,30.8497,516,0.05978624031007752
TC05,1000,Non-Secure,100,8,1.935,2.81,3.277,4.285,300678,30.0678,307,0.09794071661237784
TC05,1000,Secure,100,8,5.637,6.865,9.126,10.955,308379,30.837899999999998,516,0.05976337209302325
TC05,1000,Non-Secure,100,9,1.897,2.775,3.241,4.228,300704,30.0704,307,0.09794918566775244
TC05,1000,Secure,100,9,5.578,6.853,9.433,12.687,308495,30.8495,515,0.059901941747572816
TC05,1000,Non-Secure,100,10,1.799,2.711,3.115,4.679,300687,30.0687,308,0.09762564935064935
TC05,1000,Secure,100,10,5.301,6.599,8.962,11.409,308469,30.846899999999998,516,0.05978081395348837
TC06,1000,Non-Secure,1024,1,2.209,3.102,5.075,8.292,300727,307.94444799999997,307,1.0030763778501628
TC06,1000,Secure,1024,1,6.118,7.617,9.975,12.546,310137,317.580288,517,0.6142752185686654
TC06,1000,Non-Secure,1024,2,2.874,3.376,5.336,19.264,300719,307.936256,307,1.003049693811075
TC06,1000,Secure,1024,2,5.939,7.334,9.758,12.025,310083,317.524992,516,0.615358511627907
TC06,1000,Non-Secure,1024,3,2.237,3.112,4.971,8.22,300711,307.928064,308,0.9997664415584416
TC06,1000,Secure,1024,3,5.952,7.361,9.803,12.173,310120,317.56288,517,0.6142415473887815
